secondary_name,objectid,address,feat_type,sub_type,vanity_name,name,bldg,parent_name,parent_type,acreage,parent_acreage
,66,,Museum,,,Horticulture Center and Greenhouses,Y,West Fairmount Park,Park,0.94801084,1360.65459061
,67,,Museum,,,Horticulture Center RestroomsHorticultural Center former Restroom,Y,West Fairmount Park,Park,0.04143243,1360.65459061
,68,,Park,,,Japanese House,Y,West Fairmount Park,Park,0.08553649,1360.65459061
,69,,Park,,,Japanese House Ticket Window,Y,West Fairmount Park,Park,0.00494067,1360.65459061
,70,,Equestrian Facility,Riding School,,John Boelsen House 2Boelson Cottage,Y,West Fairmount Park,Park,0.02296266,1360.65459061
,71,,Museum,,,Laurel Hill Mansion,Y,East Fairmount Park,Park,0.06610253,640.71228567
,72,,Playground,,,Lauretha Vaird Boys/Girls Club / Tabor Rams Athletic Club Building,Y,Lauretha Vaird Boys/Girls Club Recreation Center,Park,0.29106745,6.05466094
,73,,Museum,,,Lemon Hill Mansion,Y,East Fairmount Park,Park,0.08498063,640.71228567
,74,,Historic Landmark,,,Letitia Street House,Y,West Fairmount Park,Park,0.01905521,1360.65459061
,75,,Playground,,,Mander Playground Building,Y,East Fairmount Park,Park,0.15721588,640.71228567
,76,,Playground,,,Mander Playground Pool Building,Y,East Fairmount Park,Park,0.03142854,640.71228567
,77,,Equestrian Facility,Stables,,Monastery Mansion,Y,Wissahickon Valley Park,Park,0.05770589,2053.98128525
,78,,Equestrian Facility,Stables,,Monastery Mansion Stable,Y,Wissahickon Valley Park,Park,0.14023881,2053.98128525
,79,,Museum,,,Mount Pleasant Mansion,Y,East Fairmount Park,Park,0.05002624,640.71228567
,80,,Museum,,,Mount Pleasant North Building,Y,East Fairmount Park,Park,0.00765717,640.71228567
,81,,Museum,,,Mount Pleasant North Dependency,Y,East Fairmount Park,Park,0.01381215,640.71228567
,82,,Museum,,,Mount Pleasant South Building,Y,East Fairmount Park,Park,0.01442303,640.71228567
,83,,Museum,,,Mount Pleasant South Necessary,Y,East Fairmount Park,Park,0.00419852,640.71228567
,1,,Historic Landmark,Street,,North Molde Street,Y,North Molde Street,Historic Landmark,0.4124214,0.78487316
,2,,Historic Landmark,,,Ormiston Mansion,Y,East Fairmount Park,Park,0.05151718,640.71228567
,3,,Playground,,,Papa Playground Building,Y,Cobbs Creek Park,Park,0.08464975,852.9702327
,4,,Park,,,Parkside-Evans Recreation Center Building,Y,West Fairmount Park,Park,0.04203034,1360.65459061
,5,,Historic Landmark,,,Penn Athletic Club Rowing Association Building,Y,East Fairmount Park,Park,0.11367458,640.71228567
,6,,Historic Landmark,,,Philadelphia Girls Rowing Club Building,Y,East Fairmount Park,Park,0.06875163,640.71228567
,7,,Cultural,,,Robin Hood Dell East Building,Y,East Fairmount Park,Park,0.2464983,640.71228567
,8,,Cultural,,,Robin Hood Dell East Cashier Building,Y,East Fairmount Park,Park,0.05083571,640.71228567
,9,,Cultural,,,Robin Hood Dell East Entrance Gate Building,Y,East Fairmount Park,Park,0.12453199,640.71228567
,10,,Historic Landmark,,,Rockland Mansion,Y,East Fairmount Park,Park,0.0576163,640.71228567
,11,,Museum,,,Rodin Museum & The Thinker Sculpture,Y,Benjamin Franklin Parkway,Park,0.15154793,63.54450499
,12,,Playground,,,Rose Playground,Y,Cobbs Creek Park,Park,0.00585886,852.9702327
,13,,Playground,,,Rose Playground Building 1,Y,Cobbs Creek Park,Park,0.08022675,852.9702327
,14,,Playground,,,Rose Playground Building 2,Y,Cobbs Creek Park,Park,0.06550812,852.9702327
,15,,Historic Landmark,,,Sedgeley Boat Club Building,Y,East Fairmount Park,Park,0.06896862,640.71228567
,16,,School,,,Sedgleys Porters House,Y,East Fairmount Park,Park,0.04536861,640.71228567
,17,,Playground,,,Smith Memorial Playground,Y,East Fairmount Park,Park,0.06717032,640.71228567
,18,,Playground,,,Smith Memorial Playground Building,Y,East Fairmount Park,Park,0.2126003,640.71228567
,19,,Golf Course,,,Strawberry Green Driving Range,Y,East Fairmount Park,Park,0.00936873,640.71228567
,20,,Golf Course,,,Strawberry Green Driving Range Comfort Station,Y,East Fairmount Park,Park,0.00472416,640.71228567
,21,,Golf Course,,,Strawberry Green Driving Range Garage,Y,East Fairmount Park,Park,0.01703807,640.71228567
,22,,Museum,,,Strawberry Mansion,Y,East Fairmount Park,Park,0.10194941,640.71228567
,23,,Historic Landmark,,,Sweetbriar Mansion,Y,West Fairmount Park,Park,0.05210436,1360.65459061
,24,,Theatre,,,The Mann Center,Y,West Fairmount Park,Park,1.85813068,1360.65459061
,25,,Historic Landmark,,,Trolley Power House,Y,West Fairmount Park,Park,0.3419442,1360.65459061
,26,,Historic Landmark,,,Undine Barge Club Building,Y,East Fairmount Park,Park,0.09441378,640.71228567
,27,,Historic Landmark,,,University Barge Club Building,Y,East Fairmount Park,Park,0.14918675,640.71228567
,28,,Historic Landmark,,,Upenn Boat Club Building,Y,East Fairmount Park,Park,0.20351406,640.71228567
,29,,Historic Landmark,,,Vesper Malta Boathouse,Y,East Fairmount Park,Park,0.19850217,640.71228567
,30,,Playground,,,Von Colln Community Center Building,Y,,,0.03915996,
,31,,Museum,,,Water Works Careakers HouseWater Works Engine House,Y,East Fairmount Park,Park,0.18287795,640.71228567
,32,,Museum,,,Water Works House,Y,East Fairmount Park,Park,0.06897993,640.71228567
,33,,Museum,,,Water Works North Entrance House,Y,East Fairmount Park,Park,0.01752308,640.71228567
,34,,Museum,,,Water Works South Entrance House,Y,East Fairmount Park,Park,0.01742415,640.71228567
